institution,num_students,international_students_%,year
Harvard University,20152.00,0.25,2011
California Institute of Technology,2243.00,0.27,2011
Massachusetts Institute of Technology,11074.00,0.33,2011
Stanford University,15596.00,0.22,2011
Princeton University,7929.00,0.27,2011
University of Cambridge,18812.00,0.34,2011
University of Oxford,19919.00,0.34,2011
"University of California, Berkeley",36186.00,0.15,2011
Imperial College London,15060.00,0.51,2011
Yale University,11751.00,0.2,2011
"University of California, Los Angeles",38206.00,0.15,2011
University of Chicago,14221.00,0.21,2011
Johns Hopkins University,15128.00,0.23,2011
Cornell University,21424.00,0.19,2011
ETH Zurich – Swiss Federal Institute of Technology Zurich,18178.00,0.37,2011
University of Michigan,41786.00,0.16,2011
University of Toronto,66198.00,0.15,2011
Columbia University,25055.00,0.28,2011
University of Pennsylvania,20376.00,0.2,2011
Carnegie Mellon University,11885.00,0.35,2011
University of Hong Kong,19835.00,0.38,2011
University College London,26607.00,0.46,2011
University of Washington,44020.00,0.13,2011
Duke University,15172.00,0.17,2011
Northwestern University,18334.00,0.15,2011
University of Tokyo,26199.00,0.1,2011
Georgia Institute of Technology,19967.00,0.26,2011
Pohang University of Science and Technology,3055.00,0.04,2011
"University of California, Santa Barbara",22020.00,0.11,2011
University of British Columbia,50152.00,0.25,2011
University of North Carolina at Chapel Hill,26518.00,0.08,2011
"University of California, San Diego",27233.00,0.11,2011
University of Illinois at Urbana-Champaign,42727.00,0.2,2011
National University of Singapore,31592.00,0.34,2011
McGill University,31326.00,0.23,2011
University of Melbourne,40128.00,0.35,2011
Peking University,40148.00,0.14,2011
Washington University in St Louis,12528.00,0.17,2011
École Polytechnique,2429.00,0.3,2011
University of Edinburgh,25774.00,0.36,2011
Hong Kong University of Science and Technology,11385.00,0.36,2011
École Normale Supérieure,2400.00,0.2,2011
Australian National University,14604.00,0.35,2011
Karolinska Institute,7774.00,0.22,2011
University of Göttingen,25581.00,0.12,2011
University of Wisconsin,,,2011
Rice University,6333.00,0.26,2011
École Polytechnique Fédérale de Lausanne,9666.00,0.54,2011
"University of California, Irvine",26614.00,0.16,2011
University of Science and Technology of China,14290.00,0.02,2011
Vanderbilt University,12161.00,0.1,2011
University of Minnesota,46825.00,0.13,2011
Tufts University,10410.00,0.14,2011
"University of California, Davis",35364.00,0.13,2011
Brown University,8653.00,0.19,2011
University of Massachusetts,56959.00,0.11,2011
Kyoto University,22809.00,0.07,2011
Tsinghua University,39763.00,0.1,2011
Boston University,24789.00,0.17,2011
New York University,42056.00,0.19,2011
Emory University,12338.00,0.18,2011
LMU Munich,35691.00,0.13,2011
University of Notre Dame,11829.00,0.1,2011
University of Pittsburgh,26485.00,0.1,2011
