institution,student_staff_ratio,year
Harvard University,8.9,2011
California Institute of Technology,6.9,2011
Massachusetts Institute of Technology,9,2011
Stanford University,7.8,2011
Princeton University,8.4,2011
University of Cambridge,11.8,2011
University of Oxford,11.6,2011
"University of California, Berkeley",16.4,2011
Imperial College London,11.7,2011
Yale University,4.4,2011
"University of California, Los Angeles",10.3,2011
University of Chicago,6.9,2011
Johns Hopkins University,3.6,2011
Cornell University,10.2,2011
ETH Zurich – Swiss Federal Institute of Technology Zurich,14.7,2011
University of Michigan,9,2011
University of Toronto,19.5,2011
Columbia University,5.9,2011
University of Pennsylvania,6.5,2011
Carnegie Mellon University,13.1,2011
University of Hong Kong,17.6,2011
University College London,10.7,2011
University of Washington,11.8,2011
Duke University,4.8,2011
Northwestern University,13.8,2011
University of Tokyo,5.7,2011
Georgia Institute of Technology,20.1,2011
Pohang University of Science and Technology,10.1,2011
"University of California, Santa Barbara",27.3,2011
University of British Columbia,17.6,2011
University of North Carolina at Chapel Hill,7.3,2011
"University of California, San Diego",6.5,2011
University of Illinois at Urbana-Champaign,18.7,2011
National University of Singapore,15.5,2011
McGill University,13.7,2011
University of Melbourne,23.7,2011
Peking University,8.3,2011
Washington University in St Louis,5.7,2011
École Polytechnique,4.8,2011
University of Edinburgh,14.1,2011
Hong Kong University of Science and Technology,23.8,2011
École Normale Supérieure,7.9,2011
Australian National University,19.2,2011
Karolinska Institute,11.5,2011
University of Göttingen,25.6,2011
University of Wisconsin,,2011
Rice University,9,2011
École Polytechnique Fédérale de Lausanne,10.5,2011
"University of California, Irvine",16.1,2011
University of Science and Technology of China,7.9,2011
Vanderbilt University,3.6,2011
University of Minnesota,18,2011
Tufts University,10,2011
"University of California, Davis",13.9,2011
Brown University,10.1,2011
University of Massachusetts,13,2011
Kyoto University,5.6,2011
Tsinghua University,13.7,2011
Boston University,8.6,2011
New York University,6.8,2011
Emory University,4.5,2011
LMU Munich,15.5,2011
University of Notre Dame,13.8,2011
University of Pittsburgh,5.8,2011
Case Western Reserve University,6.4,2011
Ohio State University,13.4,2011
University of Colorado Boulder,16.1,2011
University of Bristol,14,2011
"University of California, Santa Cruz",22.7,2011
Yeshiva University,5.5,2011
University of Sydney,20.2,2011
University of Virginia,10.2,2011
University of Adelaide,30.1,2011
University of Southern California,12.9,2011
William & Mary,11.8,2011
Trinity College Dublin,18,2011
King’s College London,11.4,2011
Stony Brook University,10.9,2011
Korea Advanced Institute of Science and Technology (KAIST),10,2011
University of Sussex,17.4,2011
The University of Queensland,32.7,2011
University of York,,2011
Heidelberg University,24.5,2011
University of Utah,16.9,2011
Durham University,15.7,2011
London School of Economics and Political Science,,2011
University of Manchester,15.3,2011
"Royal Holloway, University of London",15.9,2011
Lund University,11.5,2011
University of Southampton,13.5,2011
University of Zurich,6.5,2011
Wake Forest University,4.6,2011
McMaster University,19.3,2011
University College Dublin,24.5,2011
George Washington University,12,2011
University of Arizona,12.7,2011
University of Basel,17.3,2011
"University of Maryland, College Park",8.4,2011
Dartmouth College,6.6,2011
École Normale Supérieure de Lyon,8,2011
Technical University of Munich,31.5,2011
University of Helsinki,15.1,2011
University of St Andrews,12.7,2011
Rensselaer Polytechnic Institute,15,2011
"Rutgers, the State University of New Jersey",17.3,2011
Purdue University,18.1,2011
National Tsing Hua University,13.5,2011
University of Cape Town,12.1,2011
Pennsylvania State University,12.4,2011
Seoul National University,13.9,2011
Hong Kong Baptist University,11,2011
Bilkent University,,2011
Tokyo Institute of Technology,7.3,2011
Eindhoven University of Technology,16,2011
National Taiwan University,11.9,2011
University of Hawai’i at Mānoa,,2011
"University of California, Riverside",22,2011
University of Geneva,15,2011
KU Leuven,41.9,2011
Nanjing University,13.3,2011
Queen Mary University of London,14,2011
Michigan State University,15.7,2011
Technical University of Denmark,5,2011
Ghent University,34.1,2011
Lancaster University,14.9,2011
Leiden University,17.1,2011
University of Alberta,21.6,2011
University of Glasgow,16,2011
Stockholm University,23.7,2011
Osaka University,7.8,2011
University of Victoria,21.5,2011
Tohoku University,5,2011
University of Freiburg,31.2,2011
University of Iowa,11.6,2011
University of Bergen,11.1,2011
University of Lausanne,13.1,2011
University of Sheffield,15.5,2011
University of Montreal,20.3,2011
VU University Amsterdam,16.3,2011
Pierre and Marie Curie University,8.7,2011
University of Dundee,15.3,2011
University of Barcelona,12.2,2011
Utrecht University,15.4,2011
Wageningen University and Research Center,17,2011
University of Auckland,18.9,2011
University of Birmingham,16.4,2011
Alexandria University,23.3,2011
Uppsala University,18.2,2011
Hong Kong Polytechnic University,25.9,2011
University of Aberdeen,15.8,2011
Delft University of Technology,19.4,2011
"Birkbeck, University of London",17.2,2011
Newcastle University,15.2,2011
University of New South Wales,25.9,2011
Pompeu Fabra University,18.3,2011
Indiana University,13.6,2011
Iowa State University,17.4,2011
Georgia Health Sciences University,,2011
Erasmus University Rotterdam,18.9,2011
University of Delaware,15.9,2011
